Question_darija_processesd,Answer_darija_processesd,Category
أقوى علاج لتقوية العصابات,الرياضا,Neurology
شنو اللي كيسبب الصرع؟,الضو مقلوب,Neurology
كيفاش تقدر تزيد من قوتي ف الصبر,بلا ما تواكل,Neurology
تعارضات ل إيسيكال معا ليبُون 6,ماعارضش,Neurology
شنو بخصوص مرض الشقيقة,عافاك عطينا شي توضيح,Neurology
عندي وجع ف ليمن,مشا عند طبيب الأعصاب,Neurology
شكوناهو طبيب لي كايتكلف ب الناقص السابع,استشاري شي طبيب نفسي,Neurology
واش تقدر تعطيني النتائج ديال لمتيحان واخا عافاك,التخطيط عادي,Neurology
شنو هو الدوا ديال النسا؟,عرفتي علاش,Neurology
تحتت راسّي فجاو و أنا تخلعت,فين هو التقرير؟,Neurology
شحال من خلية كاينة ف راس ديال بنادم,عشرين مليار خلية,Neurology
واش كاين شي واحد عندو شي نص ديال فيتامين ب100 غرام كايبيعو؟,أيه هادشي صحيح,Neurology
واش كاين شي دوا سميتو سيبراليكس كايعاون فالتوتر و الذهن اللي مقلوب؟,أكيد,Neurology
تشرّفت بيدي ورجلي,دير تحليل ديال فيتامين د,Neurology
واش التوتر كايجيب الصداع أُ ل إلتيهاب,طابعان كايزيد الصداع,Neurology
ماعندي حتى شي علامات,فين هوما التحاليل؟,Neurology
الجووّي عييت,راه جوابت علا سوألك من قبل,Neurology
"مكاينش شي مرض سميتو ""هاوت""",التهاب بكتيري كيضرّ الأغشية لي حدا الدماغ,Neurology
واش لعاداب علا لعافيا?,طابعان. بزار.,Neurology
كانحسّ بشي حاجا كادور فراسّي,خاصك تفك راسك,Neurology
واش التوباماكس كيعاون فالعلاج ديال الشقيقة؟,"أه, زيد عليها",Neurology
كيفاش كايتزاد الدوبامين ف الدماغ,الادويه المتخصصه,Neurology
شنو هو لعلاج ديال الصرع,العلاج ديال الصرع كيعتمد على نوعو و السبب,Neurology
شنو هيا أحسن طريقة باش نعالجو النوبات ديال الصرع,علا حساب لجوو,Neurology
واش السهر كايزيد النوبات ديال الصرع,أه,Neurology
واش غادي تخلص من هاد الصداع,علا حساب شحال من صداع,Neurology
غير لعطسا أُ لالاويا,خاصك تمشي عند شي طبيب ديال الأعصاب.,Neurology
واش سومازين كايعاون ف تقوية دماغ,علاج مزيان,Neurology
واش الناس اللي مراض بالتليف كايتزوجو؟,أهّ هوما قادرين يزوّجو,Neurology
واش كايعالج شي واحد عندو مرض الصرع؟,أه مومكين,Neurology
الزايادة ديال لكالسيوم أُ لأثر ديالو على لعقل,عافاك وضح الشكوي والمطلوب,Neurology
فيتامينات باش يقويو لعقل,فيتامينات مزيج ب، وخاصة ب12,Neurology
قراية أوشاف ديال رينين موغنطيسي أُ ترجمتها,جرحة بالصدفة فالجهة اليسرى د الراس,Neurology
كيفاش كايتعالجو لماراديات لموعدات,دوا متعدد لعلاج لعضات مختلفة,Neurology
شنو هوما الأعراض ديال القولون,قلب فلموجووت وشنو هووا سوألك?,Neurology
رتاح رتاح,عافاك زيد توضح الأعراض,Neurology
فين كايتباعو أحدث لعلاج ديال الصرع؟,لspedا الصينييا ف باريس,Neurology
شنو هووّا أحسان علاج ل مراض ديال إم إس?,النوع ديال العلاج كيعتمد على نوع المرض,Neurology
شنو هو لعلاج ديال إلتهاب لعضم,الداوا كايتباعاد علاياش كاينا لعيبات,Neurology
شحال تلوقت ديال لعافيا ديال سراق,جوج سيمانات ديال العلاج,Neurology
علاج ضمور الدماغ,غير متبدل خلايا دماغك، والنتائج مامتأكداش,Neurology
تسخنّي يدّيك,واش غير هاد لعراض لي كايبانولك، ما كيأثرش على حركة يديك؟,Neurology
علاش ملي كايتصاب شي واحد بالشقيقة كايبان ليه لحم ديالو كايتحرق,عافاك عطينا توضيح ديال السؤال: شنو اللي كايضرّك؟,Neurology
واش كاين شي علاج لعلاج الاكتئاب؟,"شنو بغيتي تقول ب ""التلف""؟",Neurology
واش كاين شي دوا ديال الصرع ف آخذا,خاصنا نفيقو ونشدّو,Neurology
واش كاينا شي حاجا كاتعاون باش تالاف تاع لاصاإب أُ لعضم أُ كاتمنع تاشنجات,عافاك شرح الأعراض,Neurology
شنو هو المفهوم لي كيتعلق بالدماغ؟,عافاك شرح السؤال,Neurology
واش إمكان نربطو هاد لعصب الحسي منين تقطّعو,عافاك وضح السؤال,Neurology
أنا كانحس براسّي مقلّق من جيهت ليسر,عافاك وضح لينا شنو بغيتي تسول,Neurology
واش كاين شي دوا ديال الصرع,كاين جراحات ديال الصرع,Neurology
واش سخانا بزاف كايدير كسيدا ل دماغ,طابعان معا لقاصا,Neurology
كنت بغيت نعرف الإشعاع,كايقتارح يتشاور معا شي زميل.,Neurology
ضمر لعصب السمعي,هادشي علاش عندنا ودنين و ودنين,Neurology
عافاك عطيني لنتيجة ديال التقرير باش نفهم شنو اللي كاين حيت كاين شي تضارب فالتشخيص,طبيعي,Neurology
عندي وجع فكلشي. واش هادشي معقول؟,كايقتارح ناخدو B12,Neurology
نقص السائل فالراس,عافاك شرح الأعراض، شنو هي المشكلة، وعاود سولني.,Neurology
شنو هو الدوا ديال النعاس,"مالمدود بالنّسه, واش كاتقصد عرق لبنات?",Neurology
شنو هوما جوج أسرع ناس فلمغريب,ماتفيقش من لعياط لكبير,Neurology
واش كاينين شي عمليات جراحية ل كسر الصبع,شي حالات عندها عمليات,Neurology
معلومات على تدبيس لعصب السمبثاوي,الهدف منو هو باش يعالج لعطب لعافيا,Neurology
شنو هو لعلاج ديال إلتهاب لعضم,العلاج كايتبدل حسب لعارض ديال لعصاب,Neurology
واش كاين شي دوا لعاضيب لعين,عافاك وضح سؤالك,Neurology
كايضرني راصي و نيف ديالي.,راه دازو عليا هاد السؤال من قبل,Neurology
كيفاش كايعالجو لعروبيين الصرع,بلا جميل,Neurology
الراجل لي كايترخا فصحتو ملي كايكون متوتر,ماكاينش شي مرض عندو هاد لعاب,Neurology
كيتعاود تاني,راه دازو عليا هاد السؤال من قبل,Neurology
قرا الناتيجا ديال ماسحا ديال راسّك,كاين نزيف من فص اليسار ديال راس المخ,Neurology
عندي طونسيون,تقدر تحتاج تدير شي عملية باش تاهي الضغط,Neurology
شنو اللي كيخلي إشارة التيار الكهربائي تبطا فالمسار؟,عافاك شرح لينا شنو هو الشكوي,Neurology
واش كاين شي دوا ديال الصداع؟,ماكاينش شي دوا ديال الصداع,Neurology
الضمور ديال الخلايا الدماغية عند الدراري كايوقع فالعمر ديال الولادة,شنو هووّا السؤال؟,Neurology
واش مزيان نتزوج واخا عندي شلل الدراري الصغار؟,أه تقدر تزوج,Neurology
شنو هو أحسن دوا باش تالصداع لسانس,قراصي أميجران تحت السنان,Neurology
السرعة والتحمل,راه سبّق ليهوم جاوبو على هاد سوأل بزاف ديال لمرات,Neurology
شنو هوما أعراض ارتجاج الدماغ، وشنو هوما العلاجات ديالو؟,لقات الجواب,Neurology
مرحبا... شنو هو السبب ديال العرق عند النسا؟,شي لعقار أُ شي دوايات طابيعييّا,Neurology
واش لمرض ديال الصرع وراثي؟ و سمح ليا,شي أنواع ديال الصرع فيهم الوراثة,Neurology
هادي هييّا طاريقا مزيانا باش تعالج لمرض ديال لوسخوص,كتر من السوايل والخضر,Neurology
مخزن الصاب خاصو يتحلل باش نعرفو آش فيه,التحليل ديالي صحيح وفيه حدود عاديّة.,Neurology
